t_wall_ns,what,threat_level,impulse,episode
1785523742476137400,environment,1,0.011759196408092976,2
1785523742476137400,environment,1,0.0026172527577728033,2
1785523742496074900,environment,1,0.008871672675013542,2
1785523742496074900,environment,1,0.012819535098969936,2
1785523742496074900,environment,1,0.018633093684911728,2
1785523742509144700,environment,1,0.023410025984048843,2
1785523742509144700,environment,1,0.0514705516397953,2
1785523742528372000,environment,1,0.14254936575889587,2
1785523742528372000,environment,1,0.030538218095898628,2
1785523742528372000,environment,1,0.039768755435943604,2
1785523742543100800,environment,1,0.035258691757917404,2
1785523742543100800,environment,1,0.04040126875042915,2
1785523742562699500,environment,1,0.04433133825659752,2
1785523742562699500,environment,1,0.044077299535274506,2
1785523742562699500,environment,1,0.04112307354807854,2
1785523742575689700,environment,1,0.051562853157520294,2
1785523742575689700,environment,1,0.0418638214468956,2
1785523742594737700,environment,1,0.04527560621500015,2
1785523742594737700,environment,1,0.045750513672828674,2
1785523742594737700,environment,1,0.04159014672040939,2
1785523742609125300,environment,1,0.044827740639448166,2
1785523742609125300,environment,1,0.03899779170751572,2
1785523742628355600,environment,1,0.04239760711789131,2
1785523742628355600,environment,1,0.04359934851527214,2
1785523742628355600,environment,1,0.04006526991724968,2
1785523742642506900,environment,1,0.0381750725209713,2
1785523742642506900,environment,1,0.03406885638833046,2
1785523742661440100,environment,1,0.04547598585486412,2
1785523742661440100,environment,1,0.037350960075855255,2
1785523742661440100,environment,1,0.03551395982503891,2
1785523742675692500,environment,1,0.036664631217718124,2
1785523742675692500,environment,1,0.03889407962560654,2
1785523742695148800,environment,1,0.037852901965379715,2
1785523742695148800,environment,1,0.03698958456516266,2
1785523742695148800,environment,1,0.030915014445781708,2
1785523742708120600,environment,1,0.041486456990242004,2
1785523742708120600,environment,1,0.03625226393342018,2
1785523742728121900,environment,1,0.032129641622304916,2
1785523742728121900,environment,1,0.03611009195446968,2
1785523742728121900,environment,1,0.036016251891851425,2
1785523742742531000,environment,1,0.03884067013859749,2
1785523742742531000,environment,1,0.03325766697525978,2
1785523742762724000,environment,1,0.0335366353392601,2
1785523742762724000,environment,1,0.03870440274477005,2
1785523742762724000,environment,1,0.0344194695353508,2
1785523742775268500,environment,1,0.03727833181619644,2
1785523742775268500,environment,1,0.036384958773851395,2
1785523742795924200,environment,1,0.03278375789523125,2
1785523742795924200,environment,1,0.032783132046461105,2
1785523742795924200,environment,1,0.037498489022254944,2
1785523742808908000,environment,1,0.038933735340833664,2
1785523742808908000,environment,1,0.03409234806895256,2
1785523742828422700,environment,1,0.03177493438124657,2
1785523742828422700,environment,1,0.040948860347270966,2
1785523742828422700,environment,1,0.032337725162506104,2
1785523742841581700,environment,1,0.0420684814453125,2
1785523742841581700,environment,1,0.02730610780417919,2
1785523742862817500,environment,1,0.03916375711560249,2
1785523742862817500,environment,1,0.037442076951265335,2
1785523742862817500,environment,1,0.03394056111574173,2
1785523742874535400,environment,1,0.03308776393532753,2
1785523742874535400,environment,1,0.04049396514892578,2
1785523742894711000,environment,1,0.03630558028817177,2
1785523742894711000,environment,1,0.03138022869825363,2
1785523742894711000,environment,1,0.03725109621882439,2
1785523742907970300,environment,1,0.0393269881606102,2
1785523742907970300,environment,1,0.033407408744096756,2
1785523742928475700,environment,1,0.04013146832585335,2
1785523742928475700,environment,1,0.03090161271393299,2
1785523742928475700,environment,1,0.03863916173577309,2
1785523742941566100,environment,1,0.03692277520895004,2
1785523742941566100,environment,1,0.03729110211133957,2
1785523742962565600,environment,1,0.036020636558532715,2
1785523742962565600,environment,1,0.03289263695478439,2
1785523742962565600,environment,1,0.04081685096025467,2
1785523742975119000,environment,1,0.036941323429346085,2
1785523742975119000,environment,1,0.03615127131342888,2
1785523742995230800,environment,1,0.037327177822589874,2
1785523742995230800,environment,2,2.697646379470825,2
1785523743328452700,environment,1,0.2383033186197281,2
1785523743328452700,environment,2,7.309391975402832,2
1785523743341994200,environment,1,0.002015926642343402,2
1785523743341994200,environment,1,0.07145895808935165,2
1785523743362543000,environment,2,2.1391663551330566,2
1785523743395928500,environment,1,0.0023714990820735693,2
1785523743408526000,environment,1,0.34459495544433594,2
1785523743408526000,environment,1,0.6133760809898376,2
1785523743428709000,environment,1,0.3515993654727936,2
1785523743428709000,environment,1,0.14679929614067078,2
1785523743428709000,environment,1,0.13650831580162048,2
1785523743441372700,environment,1,0.13844303786754608,2
1785523743441372700,environment,1,0.4337902367115021,2
1785523743462565800,environment,1,0.3599427044391632,2
1785523743462565800,environment,1,0.2038525491952896,2
1785523743462565800,environment,1,0.16900955140590668,2
1785523743475601200,environment,1,0.13756175339221954,2
1785523743475601200,environment,1,0.11454568803310394,2
1785523743494331000,environment,1,0.09006766974925995,2
1785523743494331000,environment,1,0.09546082466840744,2
1785523743494331000,environment,1,0.08280209451913834,2
1785523743508253500,environment,1,0.08070308715105057,2
1785523743508253500,environment,1,0.07797335833311081,2
1785523743529027800,environment,1,0.06719968467950821,2
1785523743529027800,environment,1,0.07257898151874542,2
1785523743529027800,environment,1,0.05517048388719559,2
1785523743541312300,environment,1,0.07346987724304199,2
1785523743541312300,environment,1,0.06923139840364456,2
1785523743561705900,environment,1,0.06953193247318268,2
1785523743561705900,environment,1,0.07080107927322388,2
1785523743561705900,environment,1,0.07247057557106018,2
1785523743574348200,environment,1,0.07464279234409332,2
1785523743574348200,environment,1,0.07611186057329178,2
1785523743594903500,environment,1,0.07652740925550461,2
1785523743594903500,environment,1,0.07768741250038147,2
1785523743594903500,environment,1,0.07872200012207031,2
1785523743608058300,environment,1,0.0808645486831665,2
1785523743608058300,environment,1,0.08180350810289383,2
1785523743628907900,environment,1,0.08143738657236099,2
1785523743628907900,environment,1,0.08172506839036942,2
1785523743628907900,environment,1,0.08255648612976074,2
1785523743641302800,environment,1,0.0850449800491333,2
1785523743641302800,environment,1,0.08549574762582779,2
1785523743663448700,environment,1,0.08527939766645432,2
1785523743663448700,environment,1,0.08600985258817673,2
1785523743663448700,environment,1,0.08602011203765869,2
1785523743675498800,environment,1,0.08512232452630997,2
1785523743675498800,environment,1,0.08527164906263351,2
1785523743694985600,environment,1,0.08683574199676514,2
1785523743694985600,environment,1,0.08695327490568161,2
1785523743694985600,environment,1,0.08702392131090164,2
1785523743708350200,environment,1,0.0860060378909111,2
1785523743708350200,environment,1,0.08614517748355865,2
1785523743729786800,environment,1,0.08765306323766708,2
1785523743729786800,environment,1,0.08752356469631195,2
1785523743729786800,environment,1,0.08808324486017227,2
1785523743742426500,environment,1,0.08552578836679459,2
1785523743742426500,environment,1,0.08606104552745819,2
1785523743763087700,environment,1,0.08770221471786499,2
1785523743763087700,environment,1,0.08801495283842087,2
1785523743763087700,environment,1,0.08796297758817673,2
1785523743774597400,environment,1,0.08652005344629288,2
1785523743774597400,environment,1,0.08659536391496658,2
1785523743795715000,environment,1,0.09053412079811096,2
1785523743795715000,environment,1,0.09060496836900711,2
1785523743795715000,environment,1,0.09057731181383133,2
1785523743808206100,environment,1,0.0829882025718689,2
1785523743808206100,environment,1,0.08314459770917892,2
1785523743828727100,environment,1,0.08758486807346344,2
1785523743828727100,environment,1,0.08769666403532028,2
1785523743828727100,environment,1,0.08775558322668076,2
1785523743841694100,environment,1,0.0871262401342392,2
1785523743841694100,environment,1,0.08750870823860168,2
1785523743862867000,environment,1,0.08869420737028122,2
1785523743862867000,environment,1,0.08840500563383102,2
1785523743862867000,environment,1,0.0885566845536232,2
1785523743875595100,environment,1,0.0860205739736557,2
1785523743875595100,environment,1,0.08627576380968094,2
1785523743895716300,environment,1,0.09006611257791519,2
1785523743895716300,environment,1,0.09021016955375671,2
1785523743895716300,environment,1,0.08989188820123672,2
1785523743908379800,environment,1,0.08387211710214615,2
1785523743908379800,environment,1,0.08371303230524063,2
1785523743929481600,environment,1,0.05881000682711601,2
1785523743929481600,environment,1,0.0467231348156929,2
1785523743929481600,environment,1,0.04239542782306671,2
1785523743942224200,environment,1,0.036429088562726974,2
1785523743942224200,environment,1,0.033216413110494614,2
1785523743961481200,environment,1,0.03377043828368187,2
1785523743961481200,environment,1,0.03641457110643387,2
1785523743961481200,environment,1,0.043619316071271896,2
1785523743975563600,environment,1,0.044700007885694504,2
1785523743975563600,environment,1,0.04581073671579361,2
1785523743995264100,environment,1,0.04838309809565544,2
1785523743995264100,environment,1,0.047259099781513214,2
1785523743995264100,environment,1,0.04653586819767952,2
1785523744008250000,environment,1,0.046216003596782684,2
1785523744008250000,environment,1,0.04682709649205208,2
1785523744029338000,environment,1,0.04493945837020874,2
1785523744029338000,environment,1,0.04656132683157921,2
1785523744029338000,environment,1,0.04669076204299927,2
1785523744042642800,environment,1,0.043609339743852615,2
1785523744042642800,environment,1,0.048619359731674194,2
1785523744062323000,environment,1,0.04795803874731064,2
1785523744062323000,environment,1,0.04832838848233223,2
1785523744062323000,environment,1,0.04850231111049652,2
1785523744074965600,environment,1,0.047117650508880615,2
1785523744074965600,environment,1,0.04404411092400551,2
1785523744095754200,environment,1,0.05180841684341431,2
1785523744095754200,environment,1,0.050330691039562225,2
1785523744095754200,environment,1,0.04952458292245865,2
1785523744108648800,environment,1,0.04751723259687424,2
1785523744108648800,environment,1,0.04700304940342903,2
1785523744129144500,environment,1,0.0493466854095459,2
