t_wall_ns,armed,heading_rad,roll_rate,pitch_rate,yaw_rate,thrust
1785523703846855100,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523703866387000,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523703886164800,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523703906872000,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523703926306700,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523703946746000,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523703966286100,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523703986333000,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704007126700,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704026842300,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704046197300,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704067404400,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704086990000,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704107419600,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704126538100,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704146675200,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704166980800,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704186804900,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704206360100,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704226809400,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704246250500,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704266995300,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704286370000,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704306917400,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704326248000,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704346241900,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704366891300,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704386584900,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704407233100,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704427023700,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704446425100,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704467259900,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704487033000,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704506435900,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704526422300,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704546431300,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704566353500,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704586714600,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704606471700,1,0.0006,-0.0,-0.0,0.0,0.3412394122556525
1785523704626865200,1,0.0006,-0.0,-0.0,0.0,0.33889339325643353
1785523704646352300,1,0.0006,-0.0,-0.0,0.0,0.3340835693822198
1785523704666850000,1,0.0006,-0.0,-0.0,0.0,0.32664898412433924
