t_wall_ns,time_boot_ms,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
1785524853486059700,505813,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-2.759322192957825e-08,-3.390470737940632e-06,-8.723271349708739e-08
1785524853495460900,505813,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-2.759322192957825e-08,-3.390470737940632e-06,-8.723271349708739e-08
1785524853504848800,505832,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-1.7167849364341237e-08,-3.283979140178417e-06,-7.178287120268578e-08
1785524853514420500,505849,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-1.2335537036278765e-08,-3.147018560412107e-06,-6.268647467777555e-08
1785524853523886600,505849,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-1.2335537036278765e-08,-3.147018560412107e-06,-6.268647467777555e-08
1785524853533426900,505863,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-8.770825843384955e-09,-3.421842166062561e-06,3.670855264203965e-08
1785524853541821200,505863,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-8.770825843384955e-09,-3.421842166062561e-06,3.670855264203965e-08
1785524853551155300,505879,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,3.9389524886246363e-07,-3.246175992899225e-06,1.164221288263434e-07
1785524853560461500,505879,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,3.9389524886246363e-07,-3.246175992899225e-06,1.164221288263434e-07
1785524853568651400,505899,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,2.451079126331024e-07,-2.019987505263998e-06,9.5807656919078e-08
1785524853579290500,505899,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,2.451079126331024e-07,-2.019987505263998e-06,9.5807656919078e-08
1785524853585848800,505915,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,1.7699802867809922e-07,-1.4586793213311466e-06,8.382789928873535e-08
1785524853595247200,505929,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,4.635744517145213e-07,-1.374889507133048e-06,-1.2086204037586867e-07
1785524853603376100,505929,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,4.635744517145213e-07,-1.374889507133048e-06,-1.2086204037586867e-07
1785524853613162100,505946,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,4.700142994806811e-07,-1.514599262009142e-06,-1.9188564692740329e-07
1785524853621286300,505946,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,4.700142994806811e-07,-1.514599262009142e-06,-1.9188564692740329e-07
1785524853630806500,505966,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,2.9221195063655614e-07,-1.8322543837712146e-06,-1.578530088863772e-07
1785524853639862800,505966,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,2.9221195063655614e-07,-1.8322543837712146e-06,-1.578530088863772e-07
1785524853649402500,505982,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,2.1094527369314164e-07,-2.0369254798424663e-06,-1.3809743393267127e-07
1785524853658844100,505982,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,2.1094527369314164e-07,-2.0369254798424663e-06,-1.3809743393267127e-07
1785524853666850900,505996,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-1.8713316762841714e-07,-1.7864189203464775e-06,7.33283513909555e-08
1785524853676494500,505996,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-1.8713316762841714e-07,-1.7864189203464775e-06,7.33283513909555e-08
1785524853683648200,506013,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-1.3240794771718356e-07,-1.2639986834983574e-06,6.364943772041443e-08
1785524853693149000,506013,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-1.3240794771718356e-07,-1.2639986834983574e-06,6.364943772041443e-08
1785524853701268600,506032,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-8.233509163346753e-08,-7.859912329877261e-07,5.23645837802178e-08
1785524853712267400,506032,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-8.233509163346753e-08,-7.859912329877261e-07,5.23645837802178e-08
1785524853720053400,506048,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-5.942386849255854e-08,-5.672750376106706e-07,4.580716961299913e-08
1785524853730710300,506063,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,1.2914821923004638e-07,-5.747802447331196e-07,-5.3978496339368576e-08
1785524853738725500,506063,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,1.2914821923004638e-07,-5.747802447331196e-07,-5.3978496339368576e-08
1785524853748158300,506079,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,4.3310598130119615e-07,-7.484404136448575e-07,-2.430170411571453e-07
1785524853756227200,506079,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,4.3310598130119615e-07,-7.484404136448575e-07,-2.430170411571453e-07
1785524853765631800,506099,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,7.110313617886277e-07,-9.072276156985026e-07,-4.632374839275144e-07
1785524853773704200,506099,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,7.110313617886277e-07,-9.072276156985026e-07,-4.632374839275144e-07
1785524853781717000,506115,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,5.797193693979352e-07,-1.1102431471954333e-06,-3.783505917454022e-07
1785524853791365700,506115,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,5.797193693979352e-07,-1.1102431471954333e-06,-3.783505917454022e-07
1785524853801235200,506129,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,7.517993338979068e-08,-1.1271173434579396e-06,-1.356251857487223e-07
1785524853810651500,506146,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-2.88911053303309e-07,-1.139293885898951e-06,7.867527784810591e-08
1785524853821915400,506146,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-2.88911053303309e-07,-1.139293885898951e-06,7.867527784810591e-08
1785524853829666300,506166,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-1.7944029195859912e-07,-7.076064889588451e-07,6.46961098027532e-08
1785524853837898900,506166,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-1.7944029195859912e-07,-7.076064889588451e-07,6.46961098027532e-08
1785524853848324600,506182,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-1.295069154139128e-07,-5.106988396619272e-07,5.659405388769301e-08
1785524853855481200,506182,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-1.295069154139128e-07,-5.106988396619272e-07,5.659405388769301e-08
1785524853864997800,506196,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-9.221182040164422e-08,-3.636289704900264e-07,4.924340402112648e-08
1785524853876036200,506196,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-9.221182040164422e-08,-3.636289704900264e-07,4.924340402112648e-08
1785524853885471000,506213,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-6.173291922095814e-08,-2.434381656257756e-07,4.170923872948151e-08
1785524853893483200,506213,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-6.173291922095814e-08,-2.434381656257756e-07,4.170923872948151e-08
1785524853901926000,506232,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-4.099241834865097e-08,-1.616499645251679e-07,3.5211094484566274e-08
1785524853911170600,506232,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-4.099241834865097e-08,-1.616499645251679e-07,3.5211094484566274e-08
1785524853919050800,506249,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-2.9464043649340965e-08,-1.1618882922448392e-07,3.075284382703103e-08
1785524853928601200,506263,0.00012650738062802702,0.3095194101333618,-3.1409170627593994,-2.0982042769901454e-08,-8.274083285186862e-08,2.6760872628983634e-08
