t_wall_ns,armed,heading_rad,roll_rate,pitch_rate,yaw_rate,thrust
1785545350453941600,1,0.4250,-5.820768173014912e-11,-0.0037817952688783407,0.0,0.26500011843827836
1785545350474069700,1,0.4250,-5.820767479125522e-11,-0.0032043454702943563,0.0,0.26500008503048905
1785545350493935700,1,0.4250,-0.0,-0.0027546880301088095,0.0,0.26500006284067273
1785545350514617300,1,0.4250,-2.910383739562761e-11,-0.0022730825003236532,0.0,0.26500004278843
1785545350534493000,1,0.4250,-0.0,-0.0013489722041413188,0.0,0.26731739090898343
1785545350553555700,1,0.4250,-0.0,-0.0010356903076171875,0.0,0.2720306651580242
1785545350573623300,1,0.4250,-0.0,-0.0007181167020462453,0.0,0.2792149252096171
1785545350594019200,1,0.4250,-0.0,-0.00041961667011491954,0.0,0.289001105905177
1785545350614203900,1,0.4250,-0.0,-4.482268923311494e-05,0.0,0.2988026559058793
1785545350634133300,1,0.4250,-0.0,0.00014019012451171875,0.0,0.3087540059049073
1785545350654513000,1,0.4250,-7.275957180502557e-12,0.0003218650526832789,0.0,0.3189934059072269
1785545350673605000,1,0.4250,-7.275957180502557e-12,0.0004420280165504664,0.0,0.3287957059063641
1785545350694085100,1,0.4250,-7.275957180502557e-12,0.0005269050016067922,0.0,0.338747255906915
1785545350714293400,1,0.4250,1.4551914361005114e-11,0.000705242098774761,0.0,0.3488863559058385
1785545350733594800,1,0.4250,-0.0,0.0007681846036575735,0.0,0.35878810590553745
1785545350753986200,1,0.4250,-1.4551914361005114e-11,0.0008110999478958547,0.0,0.3664896144893369
1785545350774106800,1,0.4250,-1.4551914361005114e-11,0.0008487700833939016,0.0,0.3715885264061053
1785545350793822000,1,0.4250,1.4551914361005114e-11,0.0008940696134231985,0.0,0.3743914782746713
1785545350814130700,1,0.4250,-0.0,0.0009036064147949219,0.0,0.37479064316954885
1785545350834149700,1,0.4250,-0.0,0.0009036064147949219,0.0,0.26500000676167845
1785545350853764800,1,0.4250,-0.0,0.0009036064147949219,0.0,0.26500000676167845
1785545350873722100,1,0.4250,-0.0,0.0009036064147949219,0.0,0.26500000676167845
1785545350893551600,1,0.4250,-0.0,0.000895976962056011,0.0,0.2650000066479783
1785545350914448800,1,0.4250,-0.0,0.0008835791959427297,0.0,0.26500000646527305
1785545350934094200,1,0.4250,-0.0,0.0008473395719192922,0.0,0.265000005945808
1785545350954236900,1,0.4250,-0.5904740678283656,0.0008296965970657766,0.0,0.26500000570078314
1785545350974506600,1,0.4250,-1.1852701294451207,0.0008072852506302297,0.0,0.26500000539696916
1785545350994612500,1,0.4250,-1.7399585415416776,0.0007815361022949219,0.0,0.2650050259733761
1785545351013631100,1,0.4250,-2.2607221020893666,0.000758647860493511,0.0,0.2650613737648491
1785545351034446800,1,0.4250,-2.1831648762558826,0.0007109641446731985,0.0,0.26556208410804405
1785545351053924600,1,0.4250,-2.0273232872818836,0.0006794929504394531,0.0,0.2664405682543804
1785545351073796700,1,0.4250,-1.8846961374615558,0.0006537436856888235,0.0,0.2676067503561451
1785545351093644700,1,0.4250,-1.7678531523083576,0.0006322860717773438,0.0,0.2688254040354048
1785545351114051600,1,0.4250,-1.4991685266827472,0.0005779266357421875,0.0,0.2725597426560262
1785545351134323400,1,0.4250,-0.8090943120565428,0.000552654208149761,0.0,0.2745319366359534
1785545351154493700,1,0.4250,-0.12938619835008436,0.0005316733731888235,0.0,0.2762114056503453
