t_wall_ns,time_boot_ms,x,y,z,vx,vy,vz
1785545349752515400,97279,-52.212772369384766,-1.7763183116912842,12.619765281677246,-2.6741418838500977,0.5567308664321899,3.327944755554199
1785545349763615000,97299,-52.25710678100586,-1.7670800685882568,12.67489242553711,-2.681619882583618,0.5605598092079163,3.3254668712615967
1785545349774631600,97299,-52.25710678100586,-1.7670800685882568,12.67489242553711,-2.681619882583618,0.5605598092079163,3.3254668712615967
1785545349785620100,97315,-52.30976486206055,-1.7560741901397705,12.740165710449219,-2.6859185695648193,0.5628083944320679,3.3235177993774414
1785545349795704600,97329,-52.35331726074219,-1.7469433546066284,12.794023513793945,-2.6897473335266113,0.5648555755615234,3.3212151527404785
1785545349806298600,97329,-52.35331726074219,-1.7469433546066284,12.794023513793945,-2.6897473335266113,0.5648555755615234,3.3212151527404785
1785545349817448700,97346,-52.3918342590332,-1.7388476133346558,12.84157657623291,-2.6929585933685303,0.56662517786026,3.3185722827911377
1785545349828670100,97365,-52.43628692626953,-1.7294824123382568,12.8963623046875,-2.6963207721710205,0.5685813426971436,3.314603090286255
1785545349840306400,97365,-52.43628692626953,-1.7294824123382568,12.8963623046875,-2.6963207721710205,0.5685813426971436,3.314603090286255
1785545349851421900,97381,-52.48902130126953,-1.718359351158142,12.961225509643555,-2.697960376739502,0.5696201324462891,3.311729907989502
1785545349861385600,97396,-52.53269577026367,-1.7091405391693115,13.014814376831055,-2.699145555496216,0.5704642534255981,3.3086986541748047
1785545349872586800,97396,-52.53269577026367,-1.7091405391693115,13.014814376831055,-2.699145555496216,0.5704642534255981,3.3086986541748047
1785545349885663800,97412,-52.57113265991211,-1.701015591621399,13.06192398071289,-2.699915647506714,0.5711800456047058,3.3049638271331787
1785545349895787800,97432,-52.61613082885742,-1.691494107246399,13.117006301879883,-2.7000625133514404,0.57161945104599,3.3009846210479736
1785545349905392700,97432,-52.61613082885742,-1.691494107246399,13.117006301879883,-2.7000625133514404,0.57161945104599,3.3009846210479736
1785545349916080700,97448,-52.66886520385742,-1.6803319454193115,13.18148422241211,-2.6997597217559814,0.5717748999595642,3.2977590560913086
1785545349929034800,97462,-52.71269226074219,-1.6710546016693115,13.23497486114502,-2.6990602016448975,0.5717621445655823,3.29433536529541
1785545349938834200,97462,-52.71269226074219,-1.6710546016693115,13.23497486114502,-2.6990602016448975,0.5717621445655823,3.29433536529541
1785545349949871600,97479,-52.75113296508789,-1.6629101037979126,13.281888961791992,-2.6979713439941406,0.5715765357017517,3.2908406257629395
1785545349960993800,97499,-52.79605484008789,-1.6533886194229126,13.336698532104492,-2.6959071159362793,0.5710659027099609,3.2860031127929688
1785545349973636100,97499,-52.79605484008789,-1.6533886194229126,13.336698532104492,-2.6959071159362793,0.5710659027099609,3.2860031127929688
1785545349983495900,97515,-52.84878921508789,-1.6422070264816284,13.40103530883789,-2.6941750049591064,0.5705715417861938,3.282656192779541
1785545349994493600,97529,-52.892616271972656,-1.6329296827316284,13.454399108886719,-2.6921322345733643,0.5699469447135925,3.2791497707366943
1785545350005392300,97529,-52.892616271972656,-1.6329296827316284,13.454399108886719,-2.6921322345733643,0.5699469447135925,3.2791497707366943
1785545350016228300,97546,-52.93074035644531,-1.6248632669448853,13.50084400177002,-2.6893584728240967,0.5690497159957886,3.274907350540161
